ID,顺序,容积率,改造方案
14556,8,2,352
14557,6,2,352
14042,10,2,352
14040,9,2,352
14566,12,2,352
14567,2,2,352
14047,12,2,352
14044,7,2,352
14565,12,2,352
14045,7,2,352
14570,5,2,352
14050,4,2,352
14571,5,2,352
14568,2,2,352
14048,9,2,352
14569,3,2,352
14574,2,2,352
14054,4,2,352
14575,2,2,352
14055,5,2,352
14572,1,2,352
14573,1,2,352
14578,2,2,352
14058,6,2,352
14579,2,2,352
14576,2,2,352
14056,5,2,352
14577,2,2,352
14057,3,2,352
14582,4,2,352
14062,11,2,352
14583,2,2,352
14580,1,2,352
14060,1,2,352
14581,2,2,352
14586,6,2,352
14066,10,2,352
14587,7,2,352
14067,9,2,352
14584,5,2,352
14064,11,2,352
14585,5,2,352
14065,12,2,352
14590,8,2,352
14070,6,2,352
14591,12,2,352
14071,4,2,352
14588,7,2,352
14068,8,2,352
14589,8,2,352
14069,1,2,352
14466,7,2,352
14074,2,2,352
14467,8,2,352
14075,3,2,352
14464,7,2,352
14072,5,2,352
14465,9,2,352
14073,8,2,352
14470,4,2,352
14991,5,2,352
14471,3,2,352
14079,10,2,352
14468,8,2,352
14076,12,2,352
14474,3,2,352
14995,5,2,352
243,3,2,352
14475,4,2,352
14992,11,2,352
406,1,2,352
14472,6,2,352
14993,10,2,352
14473,7,2,352
14478,7,2,352
3584,7,2,352
14479,8,2,352
14996,8,2,352
14476,5,2,352
14997,10,2,352
892,1,2,352
14477,7,2,352
15002,1,2,352
14482,7,2,352
14483,8,2,352
14480,8,2,352
14481,8,2,352
4628,10,2,352
14486,2,2,352
15004,2,2,352
14487,1,2,352
14484,12,2,352
6377,2,2,352
14485,7,2,352
7312,2,2,352
14490,4,2,352
14491,7,2,352
14488,1,2,352
14489,6,2,352
14494,3,2,352
14495,11,2,352
14492,5,2,352
14493,6,2,352
15019,3,2,352
14499,11,2,352
14497,10,2,352
15022,8,2,352
15023,3,2,352
14503,11,2,352
15020,3,2,352
14500,11,2,352
15021,3,2,352
14501,11,2,352
15026,1,2,352
14506,12,2,352
15027,1,2,352
14507,11,2,352
15024,3,2,352
14504,12,2,352
15025,3,2,352
14505,12,2,352
14510,11,2,352
14511,9,2,352
15028,1,2,352
14508,8,2,352
15029,1,2,352
14509,5,2,352
14514,10,2,352
9495,10,2,352
14515,10,2,352
9496,10,2,352
14512,9,2,352
14513,9,2,352
14518,8,2,352
14519,8,2,352
14516,9,2,352
9498,10,2,352
14517,9,2,352
14522,10,2,352
11797,7,2,352
14523,11,2,352
11827,1,2,352
14520,12,2,352
9872,1,2,352
14521,11,2,352
9925,1,2,352
14526,6,2,352
14527,5,2,352
12044,1,2,352
14524,10,2,352
14525,4,2,352
12633,8,2,352
12678,5,2,352
12090,6,2,352
14657,12,2,352
12091,7,2,352
12729,9,2,352
12696,4,2,352
12715,2,2,352
14162,10,2,352
14160,11,2,352
14167,6,2,352
14685,6,2,352
14168,7,2,352
15215,11,2,352
14174,3,2,352
14175,3,2,352
14172,3,2,352
14173,2,2,352
14699,12,2,352
14176,1,2,352
14177,1,2,352
14702,6,2,352
14700,11,2,352
14701,11,2,352
14706,4,2,352
14707,11,2,352
14704,4,2,352
14705,4,2,352
14191,8,2,352
14708,10,2,352
14709,6,2,352
14594,7,2,352
14595,6,2,352
14203,4,2,352
14592,6,2,352
14593,6,2,352
14598,4,2,352
14599,5,2,352
14204,1,2,352
14597,4,2,352
14205,1,2,352
14082,5,2,352
14603,7,2,352
14083,2,2,352
14600,6,2,352
14080,3,2,352
14601,4,2,352
14081,4,2,352
14086,5,2,352
14087,3,2,352
14604,12,2,352
14084,3,2,352
14085,3,2,352
14090,2,2,352
15128,10,2,352
14091,5,2,352
14088,7,2,352
14089,2,2,352
14094,5,2,352
14095,3,2,352
14092,7,2,352
14093,3,2,352
14098,8,2,352
14099,2,2,352
14096,4,2,352
14097,3,2,352
14102,11,2,352
14103,6,2,352
14100,8,2,352
14101,10,2,352
14106,2,2,352
14624,10,2,352
14104,6,2,352
14110,2,2,352
14111,1,2,352
14108,1,2,352
14109,2,2,352
14114,10,2,352
14635,12,2,352
14115,5,2,352
14113,6,2,352
14118,9,2,352
14116,11,2,352
14117,2,2,352
14642,4,2,352
14643,3,2,352
14646,12,2,352
14647,12,2,352
14131,11,2,352
14135,7,2,352
15332,5,2,352
15335,5,2,352
15336,5,2,352
15333,4,2,352
15334,3,2,352
15339,1,2,352
15337,3,2,352
15338,1,2,352
15343,1,2,352
15344,2,2,352
14302,9,2,352
14303,9,2,352
15342,1,2,352
14300,9,2,352
14301,9,2,352
14306,12,2,352
15346,2,2,352
14307,11,2,352
14304,9,2,352
14305,9,2,352
14310,8,2,352
14311,8,2,352
14308,7,2,352
14309,8,2,352
14835,7,2,352
14838,6,2,352
14839,7,2,352
14836,7,2,352
14837,6,2,352
14321,9,2,352
14326,9,2,352
14327,9,2,352
14324,9,2,352
14325,9,2,352
14722,12,2,352
14720,12,2,352
14328,8,2,352
14721,12,2,352
14726,11,2,352
14334,9,2,352
14727,10,2,352
14335,3,2,352
14332,12,2,352
14333,12,2,352
14739,12,2,352
14742,4,2,352
14746,4,2,352
14747,5,2,352
14744,2,2,352
14745,4,2,352
14750,5,2,352
14751,5,2,352
14748,5,2,352
14749,9,2,352
14752,9,2,352
14402,10,2,352
14403,10,2,352
14400,10,2,352
14401,10,2,352
14406,12,2,352
14404,8,2,352
14405,8,2,352
14410,7,2,352
14411,12,2,352
14408,7,2,352
14409,12,2,352
14412,12,2,352
14446,6,2,352
14447,9,2,352
14450,3,2,352
14451,6,2,352
14448,4,2,352
14449,2,2,352
14974,10,2,352
14454,9,2,352
14975,10,2,352
14455,8,2,352
14452,6,2,352
14453,6,2,352
14458,9,2,352
14459,6,2,352
14456,3,2,352
14457,8,2,352
14461,11,2,352
14336,12,2,352
14394,11,2,352
14395,11,2,352
14392,11,2,352
14393,11,2,352
14398,10,2,352
14399,10,2,352
14396,11,2,352
14397,11,2,352
14530,2,2,352
14531,4,2,352
14528,5,2,352
14529,4,2,352
14534,4,2,352
15055,11,2,352
14535,6,2,352
15052,7,2,352
14532,8,2,352
14533,4,2,352
14538,4,2,352
14539,3,2,352
14536,5,2,352
12769,1,2,352
14537,4,2,352
12800,1,2,352
14542,9,2,352
14543,7,2,352
14540,10,2,352
14541,12,2,352
14546,6,2,352
14544,5,2,352
13009,7,2,352
14545,6,2,352
13957,9,2,352
14555,8,2,352
